near_uid	far_uid	legit_file	stray_file
118	371	1770746115.1372450_727.hamsa,U=118:2,	1770674733.1073681_118.hamsa,U=118:2,
135	401	1770746118.1372450_744.hamsa,U=135:2,	1770674733.1073681_135.hamsa,U=135:2,R
139	406	1770746118.1372450_748.hamsa,U=139:2,	1770674735.1073681_139.hamsa,U=139:2,
154	432	1770746121.1372450_763.hamsa,U=154:2,	1770674735.1073681_154.hamsa,U=154:2,
177	527	1770746150.1372450_786.hamsa,U=177:2,	1770674735.1073681_177.hamsa,U=177:2,
182	532	1770746150.1372450_791.hamsa,U=182:2,	1770674736.1073681_182.hamsa,U=182:2,
187	537	1770746150.1372450_796.hamsa,U=187:2,	1770674736.1073681_187.hamsa,U=187:2,
195	557	1770746150.1372450_804.hamsa,U=195:2,	1770674736.1073681_195.hamsa,U=195:2,
246	644	1770746152.1372450_855.hamsa,U=246:2,	1770674739.1073681_246.hamsa,U=246:2,
247	645	1770746155.1372450_856.hamsa,U=247:2,	1770674739.1073681_247.hamsa,U=247:2,
248	646	1770746155.1372450_857.hamsa,U=248:2,	1770674739.1073681_248.hamsa,U=248:2,
249	647	1770746155.1372450_858.hamsa,U=249:2,	1770674739.1073681_249.hamsa,U=249:2,
250	648	1770746155.1372450_859.hamsa,U=250:2,	1770674739.1073681_250.hamsa,U=250:2,
273	683	1770746157.1372450_882.hamsa,U=273:2,	1770674740.1073681_273.hamsa,U=273:2,
275	686	1770746157.1372450_884.hamsa,U=275:2,	1770674740.1073681_275.hamsa,U=275:2,
302	747	1770746157.1372450_911.hamsa,U=302:2,	1770674741.1073681_302.hamsa,U=302:2,
306	754	1770746157.1372450_915.hamsa,U=306:2,	1770674741.1073681_306.hamsa,U=306:2,
310	787	1770746160.1372450_919.hamsa,U=310:2,	1770674741.1073681_310.hamsa,U=310:2,
334	1035	1770746160.1372450_943.hamsa,U=334:2,	1770674743.1073681_334.hamsa,U=334:2,
351	1211	1770746170.1372450_960.hamsa,U=351:2,	1770674751.1073681_351.hamsa,U=351:2,
370	1261	1770746215.1372450_979.hamsa,U=370:2,	1770674752.1073681_370.hamsa,U=370:2,
375	1269	1770746215.1372450_984.hamsa,U=375:2,	1770674752.1073681_375.hamsa,U=375:2,
379	1281	1770746215.1372450_988.hamsa,U=379:2,	1770674752.1073681_379.hamsa,U=379:2,
380	1282	1770746215.1372450_989.hamsa,U=380:2,	1770674752.1073681_380.hamsa,U=380:2,
381	1287	1770746215.1372450_990.hamsa,U=381:2,	1770674752.1073681_381.hamsa,U=381:2,
382	1297	1770746215.1372450_991.hamsa,U=382:2,	1770674752.1073681_382.hamsa,U=382:2,
383	1298	1770746215.1372450_992.hamsa,U=383:2,	1770674752.1073681_383.hamsa,U=383:2,
391	1320	1770746215.1372450_1000.hamsa,U=391:2,	1770674752.1073681_391.hamsa,U=391:2,
394	1328	1770746215.1372450_1003.hamsa,U=394:2,	1770674752.1073681_394.hamsa,U=394:2,
408	1349	1770746215.1372450_1017.hamsa,U=408:2,	1770674754.1073681_408.hamsa,U=408:2,
